ลำดับที่,มิติงบประมาณ,ประเภทงบประมาณ,หน่วยงานรับผิดชอบ,โครงการ,วงเงิน(ล้านบาท),ตำบล,อำเภอ,แผนแม่บทฯ,ปี,วงเงิน_ล้านบาท,รหัสแผนแม่บท,ชื่อแผนแม่บท,ชื่อย่อด้าน,ปีงบประมาณ,ช่วงปีงบประมาณ
1,Function,Function,กรมเจ้าท่า,(22) ค่าขุดลอกและบำรุงรักษาร่องน้ำภายในประเทศ (ดำเนินการเอง) สำนักงานพัฒนาและบำรุงรักษาทางน้ำที่ 7 จ.เชียงใหม่ จำนวน 17 ร่องน้ำ เนื้อดินประมาณ 900000 ลบ.ม.,23.085,ไม่ระบุ,ไม่ระบุ,3.0,2565.0,23.085,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
2,Function,Function,กรมโยธาธิการและผังเมือง,008565 : เขื่อนป้องกันตลิ่งริมแม่น้ำปิง ตั้งแต่ฝายพญาอุต หมู่ที่ 6 ถึงฝายท่ามะโก๋ หมู่ที่ 12 ตำบลหนองตอง อำเภอหางดง จังหวัดเชียงใหม่ ความยาว 865 เมตร [จังหวัดเชียงใหม่][ผูกพันสัญญา],5.6825,หนองตอง,หางดง,3.0,2565.0,5.6825,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
3,Function,Function,กรมโยธาธิการและผังเมือง,"008569 : เขื่อนป้องกันตลิ่งริมแม่น้ำปิง พร้อมปรับปรุงภูมิทัศน์ช่วงบริเวณสะพานข้ามแม่น้ำปิง หมู่ที่ 6 บ้านเด่นสารภี (ฝั่งซ้าย) ตำบลบ้านตาล และบริเวณบ้านกองหิน (ฝั่งขวา) ตำบลท่าข้าม อำเภอฮอด จังหวัดเชียงใหม่ ความยาว 1,660 เมตร [จังหวัดเชียงใหม่][ผูกพันสัญญา]",9.8441,บ้านตาล,ฮอด,3.0,2565.0,9.8441,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
4,Function,Function,กรมโยธาธิการและผังเมือง,"008572 : เขื่อนป้องกันตลิ่งริมแม่น้ำปิง บริเวณโค้งปู่ลิง หมู่ที่ 8 ตำบลบ้านตาล อำเภอฮอด จังหวัดเชียงใหม่ ความยาว 2,400 เมตร [จังหวัดเชียงใหม่][ผูกพันสัญญา]",12.4263,บ้านตาล,ฮอด,3.0,2565.0,12.4263,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
5,Function,Function,กรมโยธาธิการและผังเมือง,009244 : เขื่อนป้องกันตลิ่งริมแม่น้ำขาน หมู่ที่ 7 ตำบลท่าวังพร้าว อำเภอสันป่าตอง จังหวัดเชียงใหม่ ความยาว 400 เมตร [จังหวัดเชียงใหม่][ผูกพันม.41/ม.42],18.4,ท่าวังพร้าว,สันป่าตอง,3.0,2565.0,18.4,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
6,Function,Function,กรมโยธาธิการและผังเมือง,"009249 : เขื่อนป้องกันตลิ่งริมแม่น้ำปิง (ต่อเนื่องเขื่อนเดิม) บริเวณโค้งปู่ลิง ถึงโค้งวังแดง ตำบลบ้านตาล อำเภอฮอด จังหวัดเชียงใหม่ ความยาว 1,260 เมตร [จังหวัดเชียงใหม่][ผูกพันม.41/ม.42]",18.8571,บ้านตาล,ฮอด,3.0,2565.0,18.8571,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
7,Function,Function,กรมโยธาธิการและผังเมือง,010460 : เขื่อนป้องกันตลิ่งริมแม่น้ำแม่แจ่ม ช่วงบริเวณบ้านท่าข้าม หมู่ที่ 7 - บ้านวังตวง หมู่ที่ 9 ตำบลบ้านแปะ อำเภอจอมทอง จังหวัดเชียงใหม่ ความยาว 800 เมตร [จังหวัดเชียงใหม่],12.0,บ้านแปะ,จอมทอง,3.0,2565.0,12.0,3,ด้านที่ 3 การจัดการน้ำท่วมและอุทกภัย,ด3_น้ำท่วมอุทกภัย,2565,ระยะต้น (2565-2567)
8,Function,Function,กรมพัฒนาที่ดิน,"(1.1380) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลน้ำแพร่ อำเภอหางดง จังหวัดเชียงใหม่  1 บ่อ",0.0185,น้ำแพร่,หางดง,2.0,2565.0,0.0185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
9,Function,Function,กรมพัฒนาที่ดิน,"(1.1381) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลยุหว่า อำเภอสันป่าตอง จังหวัดเชียงใหม่  10 บ่อ",0.185,ยุหว่า,สันป่าตอง,2.0,2565.0,0.185,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
10,Function,Function,กรมพัฒนาที่ดิน,"(1.1382) ค่าก่อสร้างแหล่งน้ำในไร่นา ขนาด 1,260 ลูกบาศก์เมตร ตำบลแม่วิน อำเภอแม่วาง จังหวัดเชียงใหม่  33 บ่อ",0.6105,แม่วิน,แม่วาง,2.0,2565.0,0.6105,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2565,ระยะต้น (2565-2567)
