อำเภอ,จำนวนหมู่บ้าน,จำนวนเสี่ยงสูง_รวมทุกด้าน,สถานะการจัดสรร (Gap Status),งบประมาณรวม (ล้านบาท),จำนวนโครงการรวม,งบเฉลี่ยต่อจุดเสี่ยงสูง (ล้านบาท),เสี่ยงสูง_ด1_อุปโภค,โครงการ_ด1,งบ_ด1 (ล้านบาท),เสี่ยงสูง_ด2_เกษตร,โครงการ_ด2,งบ_ด2 (ล้านบาท),เสี่ยงสูง_ด3_น้ำท่วม,โครงการ_ด3,งบ_ด3 (ล้านบาท),เสี่ยงสูง_ด4_คุณภาพน้ำ,โครงการ_ด4,งบ_ด4 (ล้านบาท),เสี่ยงสูง_ด5_ป่าต้นน้ำ,โครงการ_ด5,งบ_ด5 (ล้านบาท)
กัลยาณิวัฒนา,22,1,🟢 สมดุลตามเกณฑ์,132.1303,12,132.1303,1,1,2.5103,0,10,126.94500000000001,0,0,0.0,0,0,0.0,0,1,2.675
จอมทอง,103,8,🔵 งบประมาณสูง - ความเสี่ยงต่ำ (โครงการโครงสร้างพื้นฐานหลัก),2653.21852684,451,331.652315855,1,84,169.72319999999996,0,139,1923.99952684,7,40,492.3831,0,178,39.0531,0,10,28.0596
ดอยสะเก็ด,112,111,⚠️ เสี่ยงสูง - ได้รับงบประมาณต่อเนื่อง,1357.0189027400002,310,12.225395520180182,1,45,91.80919999999998,4,204,1187.4636027400002,15,20,65.2219,26,38,2.0692000000000004,65,3,10.455
ดอยหล่อ,54,40,🟢 สมดุลตามเกณฑ์,1512.70731635,97,37.81768290875,0,17,43.8005,24,65,1271.90091635,5,10,194.5698,0,5,2.4361,11,0,0.0
ดอยเต่า,43,25,🟢 สมดุลตามเกณฑ์,206.62079999999997,48,8.264831999999998,0,11,29.881800000000002,6,34,168.84300000000002,6,1,1.996,0,0,0.0,13,2,5.9
ฝาง,119,31,🟢 สมดุลตามเกณฑ์,1004.4989740000001,407,32.40319270967742,0,33,68.28880000000001,3,83,885.4524740000002,11,4,12.207999999999998,4,284,24.874699999999997,13,3,13.675
พร้าว,109,8,🟢 สมดุลตามเกณฑ์,662.61543708,510,82.826929635,0,12,26.8538,0,76,422.084,0,18,29.30963708,2,399,151.17249999999999,6,5,33.195499999999996
สะเมิง,44,2,🟢 สมดุลตามเกณฑ์,414.90510000000006,177,207.45255000000003,0,3,7.9708000000000006,0,30,382.1384,2,0,0.0,0,140,4.4459,0,4,20.35
สันกำแพง,100,79,🚨 เสี่ยงสูงวิกฤติ - งบประมาณไม่เพียงพอ,599.69767536,213,7.591109814683544,1,84,226.98680000000002,0,120,356.02737535999995,16,2,4.495,27,3,2.8885,35,4,9.3
สันทราย,135,68,🟢 สมดุลตามเกณฑ์,894.60310364,250,13.155927994705882,1,20,51.8299,6,210,636.5043919999999,7,18,202.36881164,20,0,0.0,34,2,3.9
สันป่าตอง,120,79,⚠️ เสี่ยงสูง - ได้รับงบประมาณต่อเนื่อง,1352.4033,164,17.11902911392405,1,16,97.57059999999998,0,82,377.0249,18,46,877.5857999999998,22,20,0.222,38,0,0.0
