อำเภอ,ตำบล,จำนวนหมู่บ้าน,เสี่ยงสูง_รวมทุกด้าน,เสี่ยงสูง_ด1,เสี่ยงสูง_ด2,เสี่ยงสูง_ด3,เสี่ยงสูง_ด4,เสี่ยงสูง_ด5,จำนวนโครงการ,งบประมาณรวม (ล้านบาท),งบ_ด1 (ล้านบาท),งบ_ด2 (ล้านบาท),งบ_ด3 (ล้านบาท),งบ_ด4 (ล้านบาท),งบ_ด5 (ล้านบาท)
สันทราย,ป่าไผ่,21,26,0,0,0,5,21,41,66.59899999999999,9.1949,57.40409999999999,0.0,0.0,0.0
สารภี,หนองผึ้ง,8,24,0,8,0,8,8,5,30.4,5.5,24.9,0.0,0.0,0.0
หางดง,บ้านแหวน,13,24,0,0,11,0,13,4,61.656,0.0,1.6560000000000001,60.0,0.0,0.0
สันกำแพง,บวกค้าง,13,23,0,0,7,3,13,31,82.45190000000002,62.971900000000005,19.479999999999997,0.0,0.0,0.0
สารภี,สารภี,10,22,0,10,0,2,10,0,0.0,0.0,0.0,0.0,0.0,0.0
ดอยหล่อ,ยางคราม,11,22,0,11,0,0,11,17,546.7162,2.539,542.9224999999999,0.0,1.2547000000000001,0.0
ดอยสะเก็ด,สันปูเลย,15,21,0,0,1,5,15,8,10.353,2.993,7.36,0.0,0.0,0.0
ดอยสะเก็ด,สำราญราษฎร์,8,21,0,0,6,7,8,6,22.9,0.0,22.9,0.0,0.0,0.0
สารภี,หนองแฝก,9,21,0,9,0,3,9,13,34.265,21.585,6.0,6.68,0.0,0.0
สารภี,ไชยสถาน,8,21,0,8,0,5,8,1,77.0,0.0,0.0,0.0,77.0,0.0
อมก๋อย,อมก๋อย,20,20,5,15,0,0,0,42,466.01270000000005,111.66799999999998,342.4577,10.7109,1.1761,0.0
หางดง,หารแก้ว,9,19,0,0,9,1,9,6,7.459099999999999,3.36,4.0991,0.0,0.0,0.0
ดอยสะเก็ด,ตลาดขวัญ,6,17,0,3,6,2,6,4,3.53,0.0,3.53,0.0,0.0,0.0
สันกำแพง,สันกลาง,7,17,1,0,3,6,7,8,4.0,4.0,0.0,0.0,0.0,0.0
สันป่าตอง,สันกลาง,9,16,0,0,0,7,9,8,20.012999999999998,12.873899999999999,7.1391,0.0,0.0,0.0
สารภี,ชมภู,9,16,0,8,0,8,0,6,31.113599999999998,28.92,2.1936,0.0,0.0,0.0
สารภี,ขัวมุง,10,16,0,0,0,6,10,15,79.34608039999999,0.0,79.34608039999999,0.0,0.0,0.0
หางดง,ขุนคง,9,16,0,0,0,7,9,21,111.98349999999999,3.0,22.557499999999997,86.42599999999999,0.0,0.0
สารภี,สันทราย,12,15,0,0,0,3,12,4,8.123899999999999,7.026,1.0979,0.0,0.0,0.0
เมืองเชียงใหม่,สันผีเสื้อ,9,15,0,0,0,6,9,11,35.945,11.344999999999999,1.1,23.5,0.0,0.0
ดอยหล่อ,ดอยหล่อ,26,15,0,10,5,0,0,42,365.350339,21.7091,336.459839,6.0,1.1814,0.0
อมก๋อย,สบโขง,12,14,0,0,2,0,12,14,72.8301,2.45,62.980500000000006,0.0,0.4446,6.955
ฝาง,แม่ข่า,13,14,0,0,1,0,13,12,266.8789,8.349499999999999,258.5294,0.0,0.0,0.0
หางดง,หนองตอง,14,14,0,0,14,0,0,9,286.6191,0.0,203.7391,82.88,0.0,0.0
หางดง,หนองแก๋ว,9,13,0,0,3,1,9,11,18.198999999999998,1.32,16.878999999999998,0.0,0.0,0.0
ดอยเต่า,บงตัน,7,13,0,6,0,0,7,3,19.830399999999997,6.558,13.2724,0.0,0.0,0.0
สารภี,ดอนแก้ว,7,13,0,5,0,1,7,28,82.8029,0.0,56.271899999999995,26.531,0.0,0.0
สันทราย,หนองจ๊อม,10,13,0,6,0,7,0,13,124.21041164,7.705,83.161,33.344411640000004,0.0,0.0
สันป่าตอง,บ้านแม,13,13,0,0,0,0,13,18,140.6425,6.558,27.1571,106.92739999999999,0.0,0.0
เมืองเชียงใหม่,ศรีภูมิ,13,13,0,0,0,0,13,4,1354.9335,0.0,0.0,124.82050000000001,1230.113,0.0
