หน่วยงานรับผิดชอบ,จํานวนโครงการ,งบประมาณ_ล้านบาท,งบ_ด1,งบ_ด2,งบ_ด3,งบ_ด4,งบ_ด5
กรมชลประทาน,1737,18163.16132204,0.0,16069.81857332,1490.7659487199999,0.0,602.5768
กรมทรัพยากรน้ำ,402,6146.3369,10.8806,5118.654700000001,580.0,400.4336,36.367999999999995
กรมพัฒนาที่ดิน,205,2247.75046,0.0,1156.5623,0.0,1051.08216,40.106
องค์การบริหารส่วนจังหวัด,8,1981.3899999999999,21.040000000000003,0.0,0.0,1960.35,0.0
กรมโยธาธิการและผังเมือง,75,1471.35662,0.0,0.0,1471.35662,0.0,0.0
องค์การบริหารส่วนตำบล,168,1045.2492,247.36269999999996,676.8962,100.4903,0.5,20.0
การประปาส่วนภูมิภาค,129,824.4658,824.4658000000001,0.0,0.0,0.0,0.0
กรมทรัพยากรน้ำบาดาล,153,792.02183,617.10403,134.91779999999997,0.0,0.0,40.0
องค์การจัดการน้ำเสีย,5,516.8,0.0,0.0,0.0,516.8000000000001,0.0
เทศบาลตำบล,215,439.3002,251.17639999999997,27.288100000000004,160.37020000000004,0.4655,0.0
จังหวัด,27,323.0266,0.0,68.965,253.43,0.6316,0.0
กองบัญชาการกองทัพไทย,106,179.5817,22.0063,108.6668,48.9086,0.0,0.0
หน่วยบัญชาการทหารพัฒนา,172,169.3468,16.0698,32.288,33.233599999999996,87.75540000000001,0.0
องค์กรปกครองส่วนท้องถิ่น (อบจ./เทศบาลเมือง/เทศบาลนคร/เทศบาลตำบล : อปท. รับตรง),68,166.6232,90.1146,1.7899999999999998,72.03139999999999,2.6872,0.0
กรมส่งเสริมการปกครองท้องถิ่น (อปท. ไม่รับตรง),37,144.5097,101.29670000000002,0.0,43.213,0.0,0.0
กรมเจ้าท่า,11,119.34740000000001,0.0,0.0,119.34740000000001,0.0,0.0
กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช,2671,110.27015,0.0,0.0,0.0,106.25015,4.02
กรมทรัพยากรธรณี,30,98.995,0.0,0.0,0.0,0.0,98.99499999999998
องค์กรปกครองส่วนท้องถิ่น,36,59.0914,15.3,42.811400000000006,0.98,0.0,0.0
กรมส่งเสริมการปกครองท้องถิ่น,18,56.4527,38.966499999999996,14.704300000000002,2.7819,0.0,0.0
กรมป้องกันและบรรเทาสาธารณภัย,1,15.0,0.0,0.0,15.0,0.0,0.0
กรมควบคุมมลพิษ,3,9.819,8.8278,0.0,0.0,0.9912,0.0
สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,1,6.0,0.0,0.0,0.0,0.0,6.0
กรมป่าไม้,15,5.3721,0.0,0.0,0.0,3.9221999999999997,1.4499
สำนักงานปลัดกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,1,1.4828,1.4828,0.0,0.0,0.0,0.0
สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม,15,1.46947,0.0,1.4694700000000003,0.0,0.0,0.0
เทศบาลเมือง,2,0.53,0.53,0.0,0.0,0.0,0.0
กรมฝนหลวงและการบินเกษตร,1,0.015,0.0,0.015,0.0,0.0,0.0
